"Date","LFEM64FECAM647N"
1976-01-01,3402100
1976-02-01,3432800
1976-03-01,3483100
1976-04-01,3494600
1976-05-01,3577700
1976-06-01,3652800
1976-07-01,3705800
1976-08-01,3695700
1976-09-01,3589400
1976-10-01,3618500
1976-11-01,3619200
1976-12-01,3631300
1977-01-01,3539900
1977-02-01,3577800
1977-03-01,3612300
1977-04-01,3618900
1977-05-01,3705800
1977-06-01,3755300
1977-07-01,3808500
1977-08-01,3787100
1977-09-01,3694700
1977-10-01,3719900
1977-11-01,3706200
1977-12-01,3716800
1978-01-01,3634800
1978-02-01,3691800
1978-03-01,3741000
1978-04-01,3763500
1978-05-01,3838300
1978-06-01,3909500
1978-07-01,4001100
1978-08-01,3991500
1978-09-01,3904600
1978-10-01,3951700
1978-11-01,3946700
1978-12-01,3951100
1979-01-01,3875200
1979-02-01,3939600
1979-03-01,3986000
1979-04-01,3996400
1979-05-01,4072000
1979-06-01,4136700
1979-07-01,4231700
1979-08-01,4234500
1979-09-01,4117400
1979-10-01,4180100
1979-11-01,4192600
1979-12-01,4186500
1980-01-01,4131100
1980-02-01,4146700
1980-03-01,4200800
1980-04-01,4231800
1980-05-01,4290100
1980-06-01,4377000
1980-07-01,4421800
1980-08-01,4413000
1980-09-01,4334700
1980-10-01,4376300
1980-11-01,4360600
1980-12-01,4343600
1981-01-01,4292700
1981-02-01,4370900
1981-03-01,4399700
1981-04-01,4418400
1981-05-01,4549300
1981-06-01,4649700
1981-07-01,4660200
1981-08-01,4652700
1981-09-01,4536400
1981-10-01,4545700
1981-11-01,4526200
1981-12-01,4489600
1982-01-01,4415800
1982-02-01,4431500
1982-03-01,4457600
1982-04-01,4441400
1982-05-01,4507000
1982-06-01,4551600
1982-07-01,4564500
1982-08-01,4523500
1982-09-01,4414200
1982-10-01,4430900
1982-11-01,4417100
1982-12-01,4409500
1983-01-01,4333000
1983-02-01,4374800
1983-03-01,4435000
1983-04-01,4468500
1983-05-01,4566400
1983-06-01,4662300
1983-07-01,4710300
1983-08-01,4697200
1983-09-01,4603300
1983-10-01,4627200
1983-11-01,4612800
1983-12-01,4609600
1984-01-01,4506800
1984-02-01,4567300
1984-03-01,4607600
1984-04-01,4603900
1984-05-01,4716600
1984-06-01,4778600
1984-07-01,4829700
1984-08-01,4805200
1984-09-01,4712600
1984-10-01,4732100
1984-11-01,4751900
1984-12-01,4760700
1985-01-01,4706300
1985-02-01,4748000
1985-03-01,4789000
1985-04-01,4807600
1985-05-01,4910000
1985-06-01,4961300
1985-07-01,5018400
1985-08-01,5016600
1985-09-01,4928700
1985-10-01,4967700
1985-11-01,4969000
1985-12-01,4993000
1986-01-01,4919900
1986-02-01,4964400
1986-03-01,4992900
1986-04-01,5032100
1986-05-01,5113400
1986-06-01,5213000
1986-07-01,5228000
1986-08-01,5204600
1986-09-01,5094200
1986-10-01,5117800
1986-11-01,5104300
1986-12-01,5102900
1987-01-01,5027600
1987-02-01,5082100
1987-03-01,5128400
1987-04-01,5169100
1987-05-01,5278800
1987-06-01,5352500
1987-07-01,5380300
1987-08-01,5373700
1987-09-01,5284400
1987-10-01,5338200
1987-11-01,5334400
1987-12-01,5369400
1988-01-01,5266200
1988-02-01,5341300
1988-03-01,5368700
1988-04-01,5405700
1988-05-01,5509000
1988-06-01,5576200
1988-07-01,5592100
1988-08-01,5563900
1988-09-01,5489300
1988-10-01,5554200
1988-11-01,5522500
1988-12-01,5545300
1989-01-01,5498500
1989-02-01,5518300
1989-03-01,5555500
1989-04-01,5565900
1989-05-01,5649000
1989-06-01,5716200
1989-07-01,5733900
1989-08-01,5735100
1989-09-01,5653800
1989-10-01,5695800
1989-11-01,5688300
1989-12-01,5706700
1990-01-01,5616700
1990-02-01,5664400
1990-03-01,5667300
1990-04-01,5709500
1990-05-01,5788600
1990-06-01,5874900
1990-07-01,5882300
1990-08-01,5853000
1990-09-01,5750500
1990-10-01,5763800
1990-11-01,5725700
1990-12-01,5712500
1991-01-01,5598600
1991-02-01,5631000
1991-03-01,5643500
1991-04-01,5680200
1991-05-01,5786700
1991-06-01,5847600
1991-07-01,5850600
1991-08-01,5839700
1991-09-01,5742900
1991-10-01,5766500
1991-11-01,5720700
1991-12-01,5718000
1992-01-01,5610600
1992-02-01,5664500
1992-03-01,5633400
1992-04-01,5661100
1992-05-01,5747100
1992-06-01,5823500
1992-07-01,5805200
1992-08-01,5789400
1992-09-01,5696700
1992-10-01,5730200
1992-11-01,5702400
1992-12-01,5702900
1993-01-01,5586300
1993-02-01,5635600
1993-03-01,5649300
1993-04-01,5646900
1993-05-01,5749000
1993-06-01,5850500
1993-07-01,5822700
1993-08-01,5809400
1993-09-01,5779700
1993-10-01,5787100
1993-11-01,5787800
1993-12-01,5762500
1994-01-01,5651700
1994-02-01,5704100
1994-03-01,5729800
1994-04-01,5740200
1994-05-01,5867800
1994-06-01,5956500
1994-07-01,5959600
1994-08-01,5940700
1994-09-01,5923500
1994-10-01,5931600
1994-11-01,5938200
1994-12-01,5958300
1995-01-01,5859900
1995-02-01,5876300
1995-03-01,5897200
1995-04-01,5900100
1995-05-01,6012000
1995-06-01,6083300
1995-07-01,6059600
1995-08-01,6043000
1995-09-01,6006700
1995-10-01,6021900
1995-11-01,5968300
1995-12-01,5981000
1996-01-01,5893400
1996-02-01,5946600
1996-03-01,5949900
1996-04-01,5976300
1996-05-01,6097400
1996-06-01,6146500
1996-07-01,6133500
1996-08-01,6123500
1996-09-01,6050600
1996-10-01,6048600
1996-11-01,6048700
1996-12-01,6066000
1997-01-01,5977800
1997-02-01,6019000
1997-03-01,6053600
1997-04-01,6093800
1997-05-01,6180300
1997-06-01,6272900
1997-07-01,6265800
1997-08-01,6285900
1997-09-01,6199700
1997-10-01,6207700
1997-11-01,6212400
1997-12-01,6237400
1998-01-01,6119400
1998-02-01,6192100
1998-03-01,6234300
1998-04-01,6281200
1998-05-01,6372700
1998-06-01,6446100
1998-07-01,6458300
1998-08-01,6464400
1998-09-01,6416100
1998-10-01,6450700
1998-11-01,6454100
1998-12-01,6470900
1999-01-01,6369000
1999-02-01,6395300
1999-03-01,6415300
1999-04-01,6450400
1999-05-01,6567700
1999-06-01,6644500
1999-07-01,6646300
1999-08-01,6645600
1999-09-01,6583100
1999-10-01,6595200
1999-11-01,6596700
1999-12-01,6625300
2000-01-01,6529200
2000-02-01,6588700
2000-03-01,6614000
2000-04-01,6633700
2000-05-01,6768200
2000-06-01,6847400
2000-07-01,6797600
2000-08-01,6797700
2000-09-01,6750600
2000-10-01,6783400
2000-11-01,6782200
2000-12-01,6803000
2001-01-01,6699500
2001-02-01,6715900
2001-03-01,6763700
2001-04-01,6794800
2001-05-01,6918100
2001-06-01,6948400
2001-07-01,6915800
2001-08-01,6885700
2001-09-01,6832200
2001-10-01,6851700
2001-11-01,6871500
2001-12-01,6886900
2002-01-01,6828800
2002-02-01,6833000
2002-03-01,6875300
2002-04-01,6922800
2002-05-01,7050500
2002-06-01,7140800
2002-07-01,7119800
2002-08-01,7152900
2002-09-01,7100000
2002-10-01,7133900
2002-11-01,7149900
2002-12-01,7193400
2003-01-01,7061700
2003-02-01,7114500
2003-03-01,7133900
2003-04-01,7121000
2003-05-01,7247600
2003-06-01,7346500
2003-07-01,7299100
2003-08-01,7289700
2003-09-01,7225500
2003-10-01,7286100
2003-11-01,7304700
2003-12-01,7364500
2004-01-01,7209500
2004-02-01,7255200
2004-03-01,7264900
2004-04-01,7289000
2004-05-01,7440000
2004-06-01,7524000
2004-07-01,7426100
2004-08-01,7381200
2004-09-01,7352500
2004-10-01,7369900
2004-11-01,7383900
2004-12-01,7414000
2005-01-01,7306900
2005-02-01,7349000
2005-03-01,7339700
2005-04-01,7376000
2005-05-01,7486100
2005-06-01,7565200
2005-07-01,7498500
2005-08-01,7481400
2005-09-01,7416600
2005-10-01,7468800
2005-11-01,7497200
2005-12-01,7496800
2006-01-01,7441900
2006-02-01,7455800
2006-03-01,7471800
2006-04-01,7511500
2006-05-01,7683000
2006-06-01,7735600
2006-07-01,7659700
2006-08-01,7610800
2006-09-01,7582500
2006-10-01,7636900
2006-11-01,7629800
2006-12-01,7688200
2007-01-01,7612200
2007-02-01,7654900
2007-03-01,7694200
2007-04-01,7701000
2007-05-01,7822200
2007-06-01,7891800
2007-07-01,7851600
2007-08-01,7842900
2007-09-01,7788400
2007-10-01,7859200
2007-11-01,7828400
2007-12-01,7844100
2008-01-01,7745700
2008-02-01,7794500
2008-03-01,7782900
2008-04-01,7816100
2008-05-01,7957500
2008-06-01,8025100
2008-07-01,7914900
2008-08-01,7892700
2008-09-01,7864200
2008-10-01,7923700
2008-11-01,7893100
2008-12-01,7911100
2009-01-01,7765700
2009-02-01,7807000
2009-03-01,7813300
2009-04-01,7837500
2009-05-01,7943900
2009-06-01,7985800
2009-07-01,7848800
2009-08-01,7846100
2009-09-01,7858900
2009-10-01,7848600
2009-11-01,7895100
2009-12-01,7892700
2010-01-01,7811600
2010-02-01,7833100
2010-03-01,7841000
2010-04-01,7872800
2010-05-01,8006500
2010-06-01,8102400
2010-07-01,7982500
2010-08-01,7941300
2010-09-01,7905600
2010-10-01,7935900
2010-11-01,7948900
2010-12-01,7969400
2011-01-01,7904800
2011-02-01,7932400
2011-03-01,7907700
2011-04-01,7950500
2011-05-01,8070200
2011-06-01,8138900
2011-07-01,8038900
2011-08-01,8017700
2011-09-01,7962700
2011-10-01,7971800
2011-11-01,7978800
2011-12-01,8023100
2012-01-01,7921700
2012-02-01,7944000
2012-03-01,7987000
2012-04-01,8065400
2012-05-01,8138800
2012-06-01,8186700
2012-07-01,8117300
2012-08-01,8120400
2012-09-01,8100500
2012-10-01,8128500
2012-11-01,8146700
2012-12-01,8176500
2013-01-01,8094700
2013-02-01,8136000
2013-03-01,8101300
2013-04-01,8136400
2013-05-01,8263000
2013-06-01,8317900
2013-07-01,8208400
2013-08-01,8216900
2013-09-01,8186100
2013-10-01,8201600
2013-11-01,8203600
2013-12-01,8188500
2014-01-01,8073400
2014-02-01,8094900
2014-03-01,8104400
2014-04-01,8133000
2014-05-01,8255800
2014-06-01,8332800
2014-07-01,8247000
2014-08-01,8184200
2014-09-01,8193300
2014-10-01,8207400
2014-11-01,8214400
2014-12-01,8193900
2015-01-01,8104700
2015-02-01,8150800
2015-03-01,8188200
2015-04-01,8187300
2015-05-01,8305500
2015-06-01,8350300
2015-07-01,8250100
2015-08-01,8230300
2015-09-01,8219100
2015-10-01,8234100
2015-11-01,8236400
2015-12-01,8242900
2016-01-01,8145700
2016-02-01,8169000
2016-03-01,8208800
2016-04-01,8246300
2016-05-01,8372500
2016-06-01,8428800
2016-07-01,8287200
2016-08-01,8269600
2016-09-01,8264200
2016-10-01,8319600
2016-11-01,8311300
2016-12-01,8324400
2017-01-01,8305400
2017-02-01,8318600
2017-03-01,8333100
2017-04-01,8353600
2017-05-01,8502700
2017-06-01,8593900
2017-07-01,8478300
2017-08-01,8426300
2017-09-01,8424800
2017-10-01,8461000
2017-11-01,8474600
2017-12-01,8514300
2018-01-01,8383300
2018-02-01,8412300
2018-03-01,8448200
2018-04-01,8486200
2018-05-01,8588400
2018-06-01,8665600
2018-07-01,8624600
2018-08-01,8605500
2018-09-01,8586000
2018-10-01,8636500
2018-11-01,8638000
2018-12-01,8656800
2019-01-01,8554100
2019-02-01,8607800
2019-03-01,8574200
2019-04-01,8679900
2019-05-01,8800600
2019-06-01,8895600
2019-07-01,8749400
2019-08-01,8740300
2019-09-01,8767200
2019-10-01,8793900
2019-11-01,8783700
2019-12-01,8809600
2020-01-01,8693200
2020-02-01,8699100
2020-03-01,8024000
2020-04-01,7189400
2020-05-01,7391000
2020-06-01,7989900
2020-07-01,8113100
2020-08-01,8212000
2020-09-01,8440100
2020-10-01,8510700
2020-11-01,8515900
2020-12-01,8471100
2021-01-01,8209200
2021-02-01,8371600
2021-03-01,8488800
2021-04-01,8435300
2021-05-01,8502100
2021-06-01,8754100
2021-07-01,8667300
2021-08-01,8685000
2021-09-01,8802100
2021-10-01,8839300
2021-11-01,8914000
2021-12-01,8922500
2022-01-01,8695000
2022-02-01,8919900
2022-03-01,8899600
2022-04-01,8944100
2022-05-01,9130500
2022-06-01,9154400
2022-07-01,9013600
2022-08-01,8936400
2022-09-01,8963900
2022-10-01,9032100
2022-11-01,9053300
2022-12-01,9088000
2023-01-01,9056900
2023-02-01,9107000
2023-03-01,9131400
2023-04-01,9150800
2023-05-01,9259000
2023-06-01,9310300
2023-07-01,9180000
2023-08-01,9147700
2023-09-01,9170800
2023-10-01,9190700
2023-11-01,9192800
