"Date","LFWA24TTCAM647S"
1976-01-01,4509900
1976-02-01,4518200
1976-03-01,4525800
1976-04-01,4533400
1976-05-01,4541100
1976-06-01,4548700
1976-07-01,4556300
1976-08-01,4564100
1976-09-01,4569600
1976-10-01,4574800
1976-11-01,4579500
1976-12-01,4583800
1977-01-01,4588800
1977-02-01,4593500
1977-03-01,4597300
1977-04-01,4602100
1977-05-01,4607600
1977-06-01,4611700
1977-07-01,4621900
1977-08-01,4627700
1977-09-01,4632300
1977-10-01,4636200
1977-11-01,4640300
1977-12-01,4643900
1978-01-01,4648500
1978-02-01,4652800
1978-03-01,4656200
1978-04-01,4660000
1978-05-01,4664700
1978-06-01,4667600
1978-07-01,4677100
1978-08-01,4680800
1978-09-01,4683900
1978-10-01,4686700
1978-11-01,4689400
1978-12-01,4692000
1979-01-01,4694900
1979-02-01,4697500
1979-03-01,4699800
1979-04-01,4702700
1979-05-01,4704900
1979-06-01,4707200
1979-07-01,4716800
1979-08-01,4719300
1979-09-01,4721700
1979-10-01,4725300
1979-11-01,4727900
1979-12-01,4730400
1980-01-01,4732600
1980-02-01,4734800
1980-03-01,4736600
1980-04-01,4738400
1980-05-01,4740400
1980-06-01,4742800
1980-07-01,4751300
1980-08-01,4752200
1980-09-01,4753300
1980-10-01,4753800
1980-11-01,4753900
1980-12-01,4753700
1981-01-01,4752700
1981-02-01,4751200
1981-03-01,4750000
1981-04-01,4748400
1981-05-01,4746800
1981-06-01,4744600
1981-07-01,4749400
1981-08-01,4745400
1981-09-01,4739400
1981-10-01,4734700
1981-11-01,4729600
1981-12-01,4724300
1982-01-01,4717000
1982-02-01,4709100
1982-03-01,4703100
1982-04-01,4697000
1982-05-01,4691000
1982-06-01,4683200
1982-07-01,4686300
1982-08-01,4678700
1982-09-01,4672300
1982-10-01,4665900
1982-11-01,4659300
1982-12-01,4652600
1983-01-01,4643600
1983-02-01,4634500
1983-03-01,4627200
1983-04-01,4620000
1983-05-01,4611000
1983-06-01,4603700
1983-07-01,4602700
1983-08-01,4593800
1983-09-01,4586800
1983-10-01,4580000
1983-11-01,4573200
1983-12-01,4566600
1984-01-01,4557700
1984-02-01,4548900
1984-03-01,4541800
1984-04-01,4533100
1984-05-01,4526300
1984-06-01,4519600
1984-07-01,4515700
1984-08-01,4508300
1984-09-01,4501100
1984-10-01,4492100
1984-11-01,4485100
1984-12-01,4477700
1985-01-01,4468400
1985-02-01,4461300
1985-03-01,4454100
1985-04-01,4445300
1985-05-01,4438300
1985-06-01,4431400
1985-07-01,4428400
1985-08-01,4421600
1985-09-01,4413300
1985-10-01,4406700
1985-11-01,4400200
1985-12-01,4393300
1986-01-01,4384600
1986-02-01,4377500
1986-03-01,4370400
1986-04-01,4361500
1986-05-01,4354400
1986-06-01,4345200
1986-07-01,4341100
1986-08-01,4331300
1986-09-01,4319000
1986-10-01,4309100
1986-11-01,4299300
1986-12-01,4289600
1987-01-01,4277100
1987-02-01,4264700
1987-03-01,4255100
1987-04-01,4245600
1987-05-01,4236200
1987-06-01,4224500
1987-07-01,4215200
1987-08-01,4205800
1987-09-01,4194200
1987-10-01,4184500
1987-11-01,4174800
1987-12-01,4164900
1988-01-01,4152300
1988-02-01,4139500
1988-03-01,4129900
1988-04-01,4120700
1988-05-01,4109400
1988-06-01,4100500
1988-07-01,4091600
1988-08-01,4080500
1988-09-01,4071400
1988-10-01,4062300
1988-11-01,4053100
1988-12-01,4044100
1989-01-01,4030500
1989-02-01,4022100
1989-03-01,4014200
1989-04-01,4006600
1989-05-01,3998000
1989-06-01,3991300
1989-07-01,3985000
1989-08-01,3977300
1989-09-01,3971500
1989-10-01,3964200
1989-11-01,3958100
1989-12-01,3952400
1990-01-01,3945100
1990-02-01,3940100
1990-03-01,3935800
1990-04-01,3931200
1990-05-01,3928200
1990-06-01,3925100
1990-07-01,3922200
1990-08-01,3919700
1990-09-01,3916800
1990-10-01,3913700
1990-11-01,3911800
1990-12-01,3909400
1991-01-01,3907100
1991-02-01,3905700
1991-03-01,3904600
1991-04-01,3903400
1991-05-01,3902900
1991-06-01,3902300
1991-07-01,3899800
1991-08-01,3896800
1991-09-01,3894100
1991-10-01,3891800
1991-11-01,3890600
1991-12-01,3890300
1992-01-01,3888600
1992-02-01,3886500
1992-03-01,3885200
1992-04-01,3884100
1992-05-01,3883300
1992-06-01,3882100
1992-07-01,3882600
1992-08-01,3883300
1992-09-01,3884000
1992-10-01,3884200
1992-11-01,3884100
1992-12-01,3884000
1993-01-01,3883900
1993-02-01,3883200
1993-03-01,3883600
1993-04-01,3883700
1993-05-01,3883600
1993-06-01,3884200
1993-07-01,3884300
1993-08-01,3884600
1993-09-01,3884800
1993-10-01,3884800
1993-11-01,3884400
1993-12-01,3884400
1994-01-01,3883900
1994-02-01,3883900
1994-03-01,3884600
1994-04-01,3885300
1994-05-01,3886300
1994-06-01,3887300
1994-07-01,3888500
1994-08-01,3890000
1994-09-01,3890500
1994-10-01,3890800
1994-11-01,3890900
1994-12-01,3891100
1995-01-01,3891500
1995-02-01,3892200
1995-03-01,3893200
1995-04-01,3894500
1995-05-01,3895900
1995-06-01,3897400
1995-07-01,3899100
1995-08-01,3901000
1995-09-01,3902400
1995-10-01,3903500
1995-11-01,3904500
1995-12-01,3905700
1996-01-01,3906800
1996-02-01,3908500
1996-03-01,3910200
1996-04-01,3911900
1996-05-01,3914000
1996-06-01,3915500
1996-07-01,3917700
1996-08-01,3919400
1996-09-01,3921100
1996-10-01,3922700
1996-11-01,3924300
1996-12-01,3926000
1997-01-01,3928400
1997-02-01,3930600
1997-03-01,3932800
1997-04-01,3936200
1997-05-01,3938600
1997-06-01,3941800
1997-07-01,3944500
1997-08-01,3946900
1997-09-01,3950200
1997-10-01,3952700
1997-11-01,3955000
1997-12-01,3957100
1998-01-01,3959800
1998-02-01,3962700
1998-03-01,3965300
1998-04-01,3968100
1998-05-01,3970900
1998-06-01,3974500
1998-07-01,3977300
1998-08-01,3980000
1998-09-01,3983900
1998-10-01,3986900
1998-11-01,3990000
1998-12-01,3993200
1999-01-01,3997100
1999-02-01,4001200
1999-03-01,4005100
1999-04-01,4009100
1999-05-01,4013000
1999-06-01,4017900
1999-07-01,4021700
1999-08-01,4026300
1999-09-01,4030100
1999-10-01,4033900
1999-11-01,4037600
1999-12-01,4041000
2000-01-01,4044800
2000-02-01,4048700
2000-03-01,4052400
2000-04-01,4056000
2000-05-01,4061000
2000-06-01,4065100
2000-07-01,4069500
2000-08-01,4074600
2000-09-01,4079000
2000-10-01,4083500
2000-11-01,4087900
2000-12-01,4092300
2001-01-01,4093800
2001-02-01,4098200
2001-03-01,4103100
2001-04-01,4109100
2001-05-01,4113900
2001-06-01,4119000
2001-07-01,4123900
2001-08-01,4127500
2001-09-01,4131100
2001-10-01,4134300
2001-11-01,4137200
2001-12-01,4139900
2002-01-01,4143400
2002-02-01,4146200
2002-03-01,4149600
2002-04-01,4153700
2002-05-01,4157200
2002-06-01,4160500
2002-07-01,4164300
2002-08-01,4166800
2002-09-01,4169400
2002-10-01,4171800
2002-11-01,4174300
2002-12-01,4176600
2003-01-01,4179300
2003-02-01,4182000
2003-03-01,4185200
2003-04-01,4189200
2003-05-01,4192200
2003-06-01,4196400
2003-07-01,4199500
2003-08-01,4202700
2003-09-01,4206900
2003-10-01,4210100
2003-11-01,4213400
2003-12-01,4216400
2004-01-01,4219900
2004-02-01,4223800
2004-03-01,4227600
2004-04-01,4231700
2004-05-01,4235800
2004-06-01,4241300
2004-07-01,4245600
2004-08-01,4250900
2004-09-01,4255300
2004-10-01,4259500
2004-11-01,4263300
2004-12-01,4267000
2005-01-01,4271500
2005-02-01,4276500
2005-03-01,4281200
2005-04-01,4285900
2005-05-01,4292000
2005-06-01,4297300
2005-07-01,4301900
2005-08-01,4307600
2005-09-01,4311700
2005-10-01,4315600
2005-11-01,4319000
2005-12-01,4322400
2006-01-01,4326800
2006-02-01,4330100
2006-03-01,4333700
2006-04-01,4337600
2006-05-01,4342700
2006-06-01,4347300
2006-07-01,4350700
2006-08-01,4353900
2006-09-01,4356400
2006-10-01,4359000
2006-11-01,4361400
2006-12-01,4363500
2007-01-01,4365500
2007-02-01,4367000
2007-03-01,4368900
2007-04-01,4371300
2007-05-01,4373600
2007-06-01,4376300
2007-07-01,4379500
2007-08-01,4382200
2007-09-01,4384400
2007-10-01,4386700
2007-11-01,4388600
2007-12-01,4390500
2008-01-01,4391500
2008-02-01,4392900
2008-03-01,4395100
2008-04-01,4397300
2008-05-01,4399800
2008-06-01,4402800
2008-07-01,4405300
2008-08-01,4407300
2008-09-01,4409100
2008-10-01,4411200
2008-11-01,4412600
2008-12-01,4413900
2009-01-01,4414800
2009-02-01,4415600
2009-03-01,4417200
2009-04-01,4418600
2009-05-01,4420500
2009-06-01,4422800
2009-07-01,4425300
2009-08-01,4427100
2009-09-01,4429000
2009-10-01,4430500
2009-11-01,4431800
2009-12-01,4432600
2010-01-01,4433100
2010-02-01,4433700
2010-03-01,4435200
2010-04-01,4436800
2010-05-01,4438600
2010-06-01,4441100
2010-07-01,4444100
2010-08-01,4446300
2010-09-01,4447900
2010-10-01,4449500
2010-11-01,4450700
2010-12-01,4451600
2011-01-01,4452200
2011-02-01,4453100
2011-03-01,4454200
2011-04-01,4455800
2011-05-01,4457400
2011-06-01,4459400
2011-07-01,4460700
2011-08-01,4461500
2011-09-01,4462100
2011-10-01,4462800
2011-11-01,4463100
2011-12-01,4463900
2012-01-01,4463700
2012-02-01,4463500
2012-03-01,4463800
2012-04-01,4464600
2012-05-01,4465200
2012-06-01,4466100
2012-07-01,4466200
2012-08-01,4465400
2012-09-01,4464700
2012-10-01,4464100
2012-11-01,4463300
2012-12-01,4462600
2013-01-01,4459700
2013-02-01,4458300
2013-03-01,4457200
2013-04-01,4456000
2013-05-01,4455300
2013-06-01,4454600
2013-07-01,4452900
2013-08-01,4450900
2013-09-01,4447900
2013-10-01,4445900
2013-11-01,4443400
2013-12-01,4440800
2014-01-01,4436800
2014-02-01,4433700
2014-03-01,4431200
2014-04-01,4428100
2014-05-01,4425400
2014-06-01,4421700
2014-07-01,4419800
2014-08-01,4416800
2014-09-01,4412600
2014-10-01,4409100
2014-11-01,4405300
2014-12-01,4401500
2015-01-01,4395700
2015-02-01,4390100
2015-03-01,4385500
2015-04-01,4381300
2015-05-01,4377200
2015-06-01,4372700
2015-07-01,4369000
2015-08-01,4365300
2015-09-01,4360700
2015-10-01,4357100
2015-11-01,4353600
2015-12-01,4350600
2016-01-01,4347100
2016-02-01,4344600
2016-03-01,4343000
2016-04-01,4342100
2016-05-01,4340900
2016-06-01,4340900
2016-07-01,4344500
2016-08-01,4349300
2016-09-01,4352800
2016-10-01,4355800
2016-11-01,4358600
2016-12-01,4361200
2017-01-01,4365200
2017-02-01,4368400
2017-03-01,4372200
2017-04-01,4375900
2017-05-01,4380500
2017-06-01,4384300
2017-07-01,4388000
2017-08-01,4393600
2017-09-01,4397900
2017-10-01,4401600
2017-11-01,4405300
2017-12-01,4409000
2018-01-01,4414400
2018-02-01,4418200
2018-03-01,4422600
2018-04-01,4428000
2018-05-01,4432200
2018-06-01,4436600
2018-07-01,4442600
2018-08-01,4447000
2018-09-01,4451200
2018-10-01,4455200
2018-11-01,4458900
2018-12-01,4462300
2019-01-01,4466500
2019-02-01,4469300
2019-03-01,4472700
2019-04-01,4477400
2019-05-01,4481500
2019-06-01,4485900
2019-07-01,4489400
2019-08-01,4490200
2019-09-01,4490700
2019-10-01,4490800
2019-11-01,4490500
2019-12-01,4489400
2020-01-01,4487400
2020-02-01,4486400
2020-03-01,4484700
2020-04-01,4482200
2020-05-01,4479700
2020-06-01,4477700
2020-07-01,4477300
2020-08-01,4478000
2020-09-01,4478500
2020-10-01,4479000
2020-11-01,4479200
2020-12-01,4476200
2021-01-01,4471600
2021-02-01,4468400
2021-03-01,4464700
2021-04-01,4460700
2021-05-01,4456300
2021-06-01,4450100
2021-07-01,4448600
2021-08-01,4447700
2021-09-01,4448200
2021-10-01,4449300
2021-11-01,4450200
2021-12-01,4454500
2022-01-01,4456800
2022-02-01,4459100
2022-03-01,4461900
2022-04-01,4464000
2022-05-01,4466700
2022-06-01,4469700
2022-07-01,4473200
2022-08-01,4479100
2022-09-01,4486200
2022-10-01,4494200
2022-11-01,4500300
2022-12-01,4509600
2023-01-01,4524500
2023-02-01,4536900
2023-03-01,4555500
2023-04-01,4572700
2023-05-01,4593400
2023-06-01,4614500
2023-07-01,4636000
2023-08-01,4664000
2023-09-01,4689300
2023-10-01,4720800
2023-11-01,4739700
